0.3235816359519958496093750, 
-0.0233782585710287094116211, 
0.2112231254577636718750000, 
0.1057559624314308166503906, 
-0.0767165124416351318359375, 
0.0993646085262298583984375, 
-0.0813024044036865234375000, 
-0.0422278009355068206787109, 
0.2616159915924072265625000, 
0.1853948831558227539062500, 
0.0494116917252540588378906, 
0.1040432900190353393554688, 
-0.2012805789709091186523438, 
0.0229085534811019897460938, 
-0.1320398449897766113281250, 
0.1967227458953857421875000, 
0.0172981843352317810058594, 
0.1682163625955581665039062, 
0.0308136995881795883178711, 
0.0094315018504858016967773, 
0.0735416710376739501953125, 
0.1274123489856719970703125, 
0.1032490506768226623535156, 
0.1545266807079315185546875, 
-0.2105837166309356689453125, 
0.0347508452832698822021484, 
-0.1288008540868759155273438, 
0.0583818517625331878662109, 
-0.1055588796734809875488281, 
-0.1655105650424957275390625, 
-0.1775756031274795532226562, 
0.1254687756299972534179688, 
-0.0823772549629211425781250, 
-0.0127563532441854476928711, 
0.2164036780595779418945312, 
0.0651970952749252319335938, 
0.2228635698556900024414062, 
-0.1663895249366760253906250, 
-0.0266223400831222534179688, 
0.0703429877758026123046875, 
-0.1123217716813087463378906, 
-0.0745655447244644165039062, 
-0.1545628458261489868164062, 
0.3034786581993103027343750, 
-0.0480215325951576232910156, 
-0.0242406856268644332885742, 
-0.0407764278352260589599609, 
-0.0239051468670368194580078, 
0.1449823677539825439453125, 
0.0522219315171241760253906, 
-0.0737658366560935974121094, 
0.1444937288761138916015625, 
-0.0536523051559925079345703, 
0.1986404657363891601562500, 
0.1228227391839027404785156, 
-0.0825544521212577819824219, 
0.0677726045250892639160156, 
0.2007276117801666259765625, 
0.0186653826385736465454102, 
0.2313546240329742431640625, 
0.1398043930530548095703125, 
0.1333299428224563598632812, 
0.1794824451208114624023438, 
0.0651165246963500976562500, 
